epoch,task_num,valid_loss,valid_acc
0,1,0.2251906951745351,0.9319
1,1,0.12269268009662627,0.9627333333333333
2,1,0.09215666541258494,0.97165
3,1,0.06628758425712586,0.9797333333333333
4,1,0.05312688099940618,0.9837666666666667
5,1,0.04108339357773463,0.9873166666666666
6,1,0.03701050819257895,0.98875
7,1,0.026394718746344248,0.9918833333333333
8,1,0.026571444375316302,0.9915166666666667
9,1,0.021670489990711212,0.9933
10,1,0.015691530310362578,0.9954833333333334
11,1,0.016874220568935075,0.9949666666666667
12,1,0.014346927542239428,0.9956333333333334
13,1,0.012733912808075547,0.9960333333333333
14,1,0.010462527085343997,0.9968
15,1,0.012821137905617555,0.9958
16,1,0.011897813521698117,0.9961166666666667
17,1,0.010047183734178544,0.99625
18,1,0.009295277705198775,0.9971666666666666
19,1,0.008151544023367267,0.9974
20,1,0.00815915879458189,0.9974666666666666
21,1,0.007122344670475771,0.9977666666666667
22,1,0.00975943487106512,0.99675
23,1,0.01188869485060374,0.9958166666666667
24,1,0.005031839065564175,0.99835
25,1,0.004894040027780769,0.9984166666666666
26,1,0.006281963775182764,0.99805
27,1,0.005714559276945268,0.9981666666666666
28,1,0.006739461485172312,0.9981166666666667
29,1,0.0045198965329366425,0.9987333333333334
30,1,0.005883138003728042,0.9979666666666667
31,1,0.0031811464051095147,0.9991666666666666
32,1,0.006413824386646351,0.9978833333333333
33,1,0.006242817599962776,0.99775
34,1,0.0034490903975868906,0.99885
35,1,0.004803177843887048,0.9985666666666667
36,1,0.0036499711828927198,0.9989333333333333
37,1,0.0007393647757940925,0.9998333333333334
38,1,0.0006606519066301795,0.9999333333333333
39,1,0.0005689193130587228,0.9999333333333333
40,1,0.0003963972287698804,0.9999833333333333
41,1,0.00046463663024284564,0.99995
42,1,0.00037945879690426713,0.99995
43,1,0.00035517475249362176,0.99995
44,1,0.0006540247244391746,0.99985
45,1,0.0002511566472627843,0.9999833333333333
46,1,0.00039335773177444935,0.9999666666666667
47,1,0.00024054815455310744,0.9999666666666667
48,1,0.0007087455376187184,0.99985
49,1,0.0003645166158928381,0.9999666666666667
50,2,0.2660472710291545,0.9191166666666667
50,1,0.002474719346128404,0.99965
51,2,0.166688685131073,0.9506
51,1,0.0029961350455259285,0.99955
52,2,0.1292299049536387,0.96
52,1,0.0031102394780764975,0.99935
53,2,0.11004489796559017,0.9660166666666666
53,1,0.002498030154965818,0.99955
